Jahrgang,Ausgabe,nr_in_issue,Datum,Artikeltitel,Untertitel,Schlagworte,Text,URL,Autoren,Month
1949,2,1,1949-01-07,Die Dame wird hochgehoben,,['Tanz'],"Auch Tommy Dowling und Mignon Mc Lean konnten an Mootsie Pootste nicht vorübergehen. Die Tanzlehrer der »oberen Zehntausend« New Yorks nahmen den neuen Tanz in ihren Lehrplan auf. New York tanzt gern Mootsie Pootsie. Der Name soll wie der ganze Tanz schweizerischen Ursprungs sein: »Meutschi, putz di« soll sich am Hudson zu Mootsie Pootsie akklimatisiert haben, so wie sich auch die Figuren und Rhythmen des ursprünglich eidgenössischen Volkstanzes amerikanisiert haben. Die Schlußfigur des Tanzes ist typisch älplerisch geblieben: die Partnerin wird vom Partner hochgehoben. Die Paare tanzen Mootsie Pootsie zumeist getrennt, und auch das kennt man von Volkstänzen, gerade von gebirglerischen. Aber dies braucht nicht unbedingt eine folkloristische Anleihe zu sein. Die »offene« Haltung, im Gegensatz zur »geschlossenen«, bei der sich Tänzer und Tänzerinnen genau vis-à-vis halten, ist bezeichnend für die moderne Entwicklung des Gesellschaftstanzes. Es ist eine Entwicklung, die mit der Geschichte des Foxtrotts und der anderen Tänze aus dieser rhythmischen Familie beginnt und zusammenhängt. Um 1917 begann, aus Amerika kommend, der Foxtrott, genauer: begannen seine Rhythmen, in Europa die überlieferten Tänze beiseite zu schieben: den Tango, der seit 1911 argentinische Triumphe auf europäischem Tanzparkett feierte, den Walzer, dessen Ableger, den Boston, und dessen leicht verstaubte Zwei-Viertel- und Vier-Viertel-Takt-Vorfahren, Polkas und Rheinländer. Seitdem halten der Foxtrott und seine Abkömmlinge den Gesellschaftstanz in ständiger Aufregung. Ueber Shimmy, Charleston und Black-Bottom wurden sittenstrenge Hände gerungen, ohne jeden Erfolg. So wie es mehr als hundert Jahre vorher beim Wiener Walzer gewesen war, über den man sich u. a. auch deswegen ereiferte, weil er die bis dahin übliche »offene Haltung« aufgab. In England ging man daran und bändigte den wilden US-Mustang. Das, was heute als »Englischer Stil« bekannt ist, tanzte unaufhaltsam erfolgreich durch Länder und Kontinente. Vier Standard-Tänze begannen das internationale Tanzprogramm zu beherrschen: Foxtrott (engl.: Quickstep), Langsamer Foxtrott, Langsamer Walzer und Tango. Dazu kam ein wenig Blues. Und in Deutschland kehrte, sprichwörtlich ewig-jung, der Wiener Walzer mit singender Drei-Viertel-Takt-Geige in den Kreis der modernen, mit Schlagzeug und Saxophon rhythmisierenden Gesellen zurück. Schön und harmonisch im Ablauf der Bewegung, dem europäischen Geschmack entsprechend, waren diese Tänze. Aus dem primitiven »4 langsame Schritte vor, 7 schnelle gelaufene Schritte und dann ein Schließen« wurde ein Foxtrott, der in der höchstentwickelten Form des Turniertanzes ein Kunstwerk seiner Gattung ist. Aus dieser schönen Ordnung hielt sich das quecksilbrige Amerika heraus. Drüben war der gleitende Vier-Viertel-Takt langweilig geworden, man griff zu Synkope und Vorschlag. Zur Berliner Olympiade 1936 kam US angeswingt und brachte alles in Unordnunng. Unordnung paßte nicht in die damalige gleichgeschaltete Kultur-Maschinerie, Deutschland durfte nicht swingen. Schlaue Tanzlehrer wußten sich zu helfen und unterrichteten »Rhythmischen Foxtrott«. Der »Englische Stil« aber behauptete seinen Platz auf dem Parkett, nur nebenbei, allerdings heftig, wurde »rhythmisch Foxtrott geswingt«. 1945, als sich die Tanzflächen im zertrümmerten Deutschland wieder zu beleben begannen, wurden die Standard-Schritte der Vorkriegs-Foxtrotts, Langsamen und Schnellen Walzer und Tangos wieder ausprobiert. Schnell-Uebermütige »swingten« auch. Doch da, beim Foxtrott, stimmte etwas nicht mehr. Etwas Neues, ein anderer Rhythmus als der bisher gewohnte war da, hart hämmernd und peitschend, unermüdlich, gleichmäßig schlagend: Boogie-Woogie. Mit den Angehörigen der Besatzungsmächte kamen die lebendigen Eindrücke und die Namen: Jitterbug und Jive. »Zitterswing« wurden die Gebilde volkstümlich getauft, in chaotischer Tanz- und Begriffsverwirrung. Denn Boogie-Woogie ist kein Tanz, sondern der neue Rhythmus, der den des gleitenden Slow, Quick und Swing abgelöst hat und zu neuen tänzerischen Bewegungen und Schrittfolgen zwingt. Der wilde, ausgelassene Jitterbug, bei dem der Partner die Partnerin umherschleudert, in die Luft hebt, wegstößt, bis zur Erschöpfung, wurde schon vor dem Kriege in USA getanzt. Jive, von den Engländern auch »American Swing« genannt ist gemäßigteren Klimas, doch ebenso gepackt vom tuckernden Rhythmus des Boogie-Woogie: Federnd, leichtfüßig, rhythmisch stark und lebendig, mit kurzen, unermüdlichen Schritten. Denen, die über das Wilde des Neuen Stirn und Nase krausen, sagen diejenigen, die sich wirklich darauf verstehen: Man muß das Neue nur tanzen können. Sie erinnern daran, daß unerfreuliche Auch-Tänzer den Walzer, als er aufkam, auch zur Karikatur machten. Die gleichen Typen seien es, die heute, sinnlos tobend und Glieder verrenkend, albern zitternd und hüpfend, wähnen zu jitterbugen oder zu jiven. Die fröhlich-heiter besessenen Tanzformen des Boogie-Woogie-Rhythmus würden dabei zertrampelt und verzerrt. Dem »Englischen Stil« hat Boogie-Woogie nicht den Garaus gemacht. Der Englische Stil, der eigentlich eine Technik ist, erkannte die Qualitäten des Konkurrenten von drüben und baute sie in seine bewegliche Maschinerie ein. Aber immerhin: das tanzende Europa hat heute einen amerikanischen Stil neben dem englischen. Und dazu gehört, was sich bei Jitterbug und Jive zeigt und vom Mootsie Pootsie nun als besonders bemerkenswert herüberberichtet wird: die »offene Haltung«. Das wenigstens ist ein Anklang an die Vor-Walzer-Zeit.",https://www.spiegel.de/politik/die-dame-wird-hochgehoben-a-8d15af28-0002-0001-0000-000044435289?context=issue,,1
1949,2,2,1949-01-07,Wegweiser,,,"Harry S. Truman läßt seinen Wahlwechsel nicht zu Protest gehen. In seinem Rechenschaftsbericht an den neugewählten 81. Kongreß schlägt der Demokrat Truman sozialistische Töne an. Ein Acht-Punkte-Programm mit Preiskontrollen und einem System der Rohstoffzuteilungen ist gegen die drohende Inflation gerichtet. Für knappe Waren werden Höchstpreise festgesetzt. Das Taft-Hartley-Gesetz wird durch das früher gültige (für die Gewerkschaften günstigere) Wagner-Gesetz ersetzt. Jeder Amerikaner soll künftig Mitglied einer nationalen Krankenkasse werden und durch den Ausbau der Sozialversicherung bei Arbeitslosigkeit, Krankheit oder Invalidität Unterstützung empfangen. Für die Mindestlöhne ist eine Erhöhung von bisher 40 Cents auf mindestens 75 Cents je Arbeitsstunde geplant. Die Mittel zu seiner Sozialpolitik will Truman durch die Erhöhung der Körperschafts- und Einkommensteuer in mittleren und höheren Gehaltsklassen aufbringen. Auch das Gleichberechtigungsversprechen an seine schwarzen Wähler will der US-Präsident einlösen. Truman-Doktrin, Marshall-Plan und Atlantikpakt sind die amerikanischen Wegweiser auf den windigen Pfaden der künftigen Außenpolitik. Deren Leitstern nannte Harry S. Truman schlicht den Frieden.",https://www.spiegel.de/politik/wegweiser-a-c175093a-0002-0001-0000-000044435243?context=issue,,1
1949,2,3,1949-01-07,Zoll,,,"Der Kalte Krieg bringt den amerikanischen Bürgern brennende Steuersorgen. Von den 42 bis 43 Milliarden Dollar Haushaltsgeld für das am 1. Juli 1949 anlaufende Rechnungsjahr soll der US-Kongreß 21 Milliarden zur Finanzierung der amerikanischen Außenpolitik bewilligen (gegenüber 18,25 Milliarden im Vorjahr). Davon werden 13,5 Milliarden (11,75 Milliarden im alten Rechnungsjahr) für militärische Ausgaben veranschlagt. Hauptposten des Militärbudgets ist die Luftbrücke. Der US-Luftbrückenzoll wird schon im laufenden Finanzjahr 70 bis 80 Millionen Dollar Defizit bringen. 7,5 Milliarden verteilen sich auf die wirtschaftliche und militärische Auslandshilfe der Vereinigten Staaten. Allein ein bis zwei Milliarden Dollar rollen im Rahmen des Wiederaufrüstungsprogramms für den Westen Europas gegen den bolschewistischen Rubel.",https://www.spiegel.de/politik/zoll-a-5f119c99-0002-0001-0000-000044435244?context=issue,,1
1949,2,4,1949-01-07,Drang,,,Englands junger Labour-Flügel drängt sein reifes Führerkorps aufs Altenteil. Associated Press prophezeit eine baldige Umbildung des britischen Kabinetts. Als denkbare Nachfolger des Verteidigungsministers A. V. Alexander werden der ehemalige britische Luftmarschall Sir Sholto Douglas und Lord Mountbatten genannt. Außenminister Bevin steht nach AP-Meldungen schon mit einem Fuß in dem Labour-Jungbrunnen. Angeblich wird er nach Unterzeichnung des Atlantikpaktes zurücktreten. Der 67jährige leidet an Herzbeschwerden. Ministerpräsident Clement Attlee und sein Stellvertreter Herbert Morrison feierten beide am Montag ihren 66. bzw. 61. Geburtstag.,https://www.spiegel.de/politik/drang-a-2816ac0f-0002-0001-0000-000044435245?context=issue,,1
1949,2,5,1949-01-07,Glückwunsch,,,"General Markos trommelt angriffslustiger denn je an seine ordenslose Guerillabrust. In einer Neujahrsbotschaft nennt er 1949 »das Jahr der Wende«. Wichtigstes Ziel sei die Vorbereitung einer großen Offensive. Der kopfpreisgekrönte Rebellenführer beglückwünschte seine Männer zu den Erfolgen des vergangenen Jahres: 97000 Regierungssoldaten, 179 Panzerwagen, 106 Kampfflugzeuge und 185 monarchofaschistische Lokomotiven seien »unschädlich« gemacht worden. Die Athener Regierung bestimmte, daß künftig alle geflohenen Einwohner aus guerillaumkämpften Ortschaften bewaffnet und in Verteidigungsgruppen eingesetzt werden. Der Staatssekretär der US-Armee Kenneth C. Royall ließ sich während seiner Besichtigungsreise durch Griechenland einen echten gefangenen Guerilla vorführen.",https://www.spiegel.de/politik/glueckwunsch-a-b11ffdb5-0002-0001-0000-000044435246?context=issue,,1
1949,2,6,1949-01-07,Motive,,,"Bonns Parlamentarische CDU-Ratsherren waren über SPD-Fraktionschef Carlo Schmids Courtoisie entzückt. Er hatte Präsident Adenauer im Hauptausschuß ein glückliches neues Jahr gewünscht. Es war der Punkt hinter das von DP-Seebohm angegeregte Aeltestenrat - Kommunique, mit dem die »Affäre Adenauer« nach CDU-Wunsch »honorig aus der Welt geschafft« worden war. («... in gegenseitiger menschlicher Achtung, sich mit ganzer Kraft der gemeinsamen Arbeit widmen ... daß keine Fraktion einer anderen oder einem ihrer Mitglieder unlautere Motive unterstellt."") Schumacher-Stellvertreter Erich Ollenhauer versuchte vergebens, Carlo Schmids Fraktion zu SPD-Konsequenz und einem Mißtrauensantrag gegen Adenauer zu bewegen. Schmids Leute verzichteten zugunsten ihrer weiteren Arbeit. Nun wollen nur noch Max Reimann und seine Ein-Mann-Fraktion Adenauer abgesetzt wissen. - Westzonen-KPD und Ostzonen-SED haben ihre interzonale Arbeitsgemeinschaft aufgelöst. Die Voraussetzungen des Kampfes seien in Ost und West zu verschieden. Alle nichtkommunistischen Kommentare haben einen Grundtenor: Ein taktischer Schachzug.",https://www.spiegel.de/politik/motive-a-c618cd23-0002-0001-0000-000044435247?context=issue,,1
1949,2,7,1949-01-07,Beistand,,,"Palästinas Davidssöhne schleuderten einen dicken Stein gegen den arabischen Goliath. Eine israelische Kampftruppe stieß weit über die Grenze auf ägyptisches Gebiet vor und versetzte damit die britischen Generalstabschefs in London in Aufregung. England ist Aegypten durch den militärischen Beistandspakt von 1938 verpflichtet und fürchtet um die Sicherheit der Suezkanal-Zone. Englands Botschafter Sir Oliver Franks intervenierte im amerikanischen Außenministerium. Als die Amerikaner in einer Note an die Juden mit dem Widerruf der Anerkennung Israels drohten, zogen die Juden ihre Truppen wieder zurück. Das jüdische Außenministerium überhäuft den Pflegevater Bull aus der Mandatszeit mit Vorwürfen: »Bevin hat die Maske abgeworfen und sich öffentlich als aktiver Alliierter der Araber bekannt.«",https://www.spiegel.de/politik/beistand-a-56a7d0b2-0002-0001-0000-000044435248?context=issue,,1
1949,2,8,1949-01-07,Feldzug,,,"Indonesien ist ein weiteres Loch in dem UN-Sicherheitsventil, aus dem der Respekt vor den Vereinten Nationen entweicht. Der Feldzug der 18 Tage brachte bis zu dem vom Weltsicherheitsrat gebilligten Feuereinstellungstermin (31. 12.) ganz Java unter holländische Kontrolle. Auf Sumatra wurde am Mittwoch noch gekämpft. Hollands Ministerpräsident Dr. Willem Drees flog nach Batavia, um eine »provisorische Regierung für ganz Indonesien vorzubereiten«. Gegen bare Dollar beziehen die Holländer auch weiterhin US-amerikanische Lieferungen für Niederländisch-Indien. Indiens Premier Pandit Nehru lud vierzehn asiatische Staaten zu einer Beratung des Indonesienproblems nach Neu Delhi. +Die republikanischen Truppen Indonesiens lernen um auf Guerilla-Krieg. Sie kämpfen jetzt in 50-Mann-Abteilungen. »Der Kleinkrieg kann sehr gut noch fünf Jahre dauern«, erklärte der indonesische Finanzminister Maramis während seiner Reise nach Neu Delhi. Seine gleichfalls entkommenen Kollegen, Innenminister Dr. Soskiman, Gesundheitsminister Dr. Leimana, Verkehrsminister Dr. Djuanda und Ernährungsminister Dr. Kasimo, gründeten »irgendwo auf Sumatra« eine Notregierung. Ihr Waffenstillstandsangebot an die Holländer verlangt: • Freilassung der gefangenen Regierungsmitglieder, • Rückzug der niederländischen Truppen hinter die früheren Demarkationslinien, • Anerkennung einer souveränen Republik über Java, Sumatra und Madura.",https://www.spiegel.de/politik/feldzug-a-21a0e024-0002-0001-0000-000044435249?context=issue,,1
1949,2,9,1949-01-07,Reste,,,"Die Prager Regierung will mit einer neuen Verfügung die letzten kleinkapitalistischen Reste in der CSR bloßstellen. Neue Kleiderkarten werden nur noch an die Arbeiter der verstaatlichten Betriebe, an Beamte und an Kleinbauern (unter 60 Morgen Land) ausgegeben. Alte Kleiderkarten werden mit sofortiger Wirkung für alle Personen ungültig, die nach dem 1. Januar 1949 noch in Privatbetrieben beschäftigt sind. Gleichzeitig kündigte der tschechoslowakische Finanzminister Jaromir Dolansky die Einführung eines doppelten Preissystems an. Die Preise auf dem freien Markt werden »beträchtlich erhöht«. Ein Herrenanzug, für den noch vor einer Woche ein Betrag im Werte von 20 Dollar zu zahlen war, kostet jetzt rationiert 32 Dollar und auf dem freien Markt etwa 120 Dollar.",https://www.spiegel.de/politik/reste-a-416769c1-0002-0001-0000-000044435250?context=issue,,1
1949,2,10,1949-01-07,Mond,,,"Amerikas oberster Landesverteidiger James Forrestal verlangt in seinem Jahresbericht Vollmachten zur Koordinierung und Beseitigung der Rivalität von Heer, Kriegsmarine und Luftwaffe. Zur Erweiterung der US-Militärhilfe an Westeuropa fordert Forrestal »entscheidende Maßnahmen«, und für sich selbst setzt er eine Erweiterung seiner Vollmachten auf den Wunschzettel für 1949. Sein Jahresbericht spricht zum ersten Male offiziell von einem »phantastischen Programm für künstliche Erdsatelliten-Körper«. Die USA studieren die Möglichkeit, einen militärischen Außenposten zu schaffen, der wie ein winziger Mond außerhalb der Erdanziehungssphäre am Himmel hängen soll. Die amerikanischen Studienarbeiten an diesen himmlischen Projekten werden künftig unter zentraler Leitung durchgeführt werden. +Der Präsident des amerikanischen Farmerverbandes James G. Patton fordert die sofortige Entlassung Forrestals. In einer Denkschrift behauptet Patton, der amerikanische Verteidigungsminister verlange für sich »die Vollmacht, über Krieg und Frieden zu entscheiden«. Aus Forrestals Jahresbericht sei ersichtlich, daß er die USA praktisch als schon im Kriegszustand befindlich betrachte. Forrestal müsse deshalb durch einen »Zivilisten«, der als solcher denkt und fühlt, ersetzt werden.",https://www.spiegel.de/politik/mond-a-36605957-0002-0001-0000-000044435251?context=issue,,1
