Jahrgang,Ausgabe,nr_in_issue,Datum,Artikeltitel,Untertitel,Schlagworte,Text,URL,Autoren,Month
1950,1,1,1950-01-04,Wer soll das bezahlen?,,['Karneval (S.Titel)'],"Hans Jonen, 57, Vorstand der »Muuzemändelcher""*) (Vereinigung der Kölner Berufskarnevalisten), deklarierte den Kölner Karneval als »Butter auf dem trokkenen Brot des Jahres«. Rheinischer Sagensammler Goswin P. Gath nannte ihn eine »Ausgeburt des Untermenschentums«. Jonens karnevalistische Butter nannte er (auf einem Mundartdichter-Kongreß in Aachen, Frühjahr 49) einen »Hurenlohn«. Für den arbeiten (kollektiv) die Muuzemändelcher. Nach ihrer Nikolausfeier-Devise von 1949: »Bescheidenheit - doch nicht in puncto Gage - Da nehmt nur, was ihr kriegen könnt!« 25 von den 40 Kölner Berufsulkern leben schon ein Vierteljahrhundert und länger vom »vaterstädtischen Fest«. »Kunst ist Mumpitz - es lebe der Klamauk!« schrieb Präsident Jonen. 1927 ging er von der Volksschule zum Kabarett über. Vize Karl Berbuer seit Willi Ostermanne Tod Deutschlands erfolgreichster Karnevalist, ist ab 1950 unter den Jubilaren. Seinen Spitznamen hat der einstige Bäcker seit 1925: »Et jecke Hefeteichen«. Einst heimste er Alt-Humor-Meister Otto Reuters Gratulation für seinen Erstlings -Schlager ein. Der hieß »Se kiggen ons nit kapott«. 1939 verkaufte Groß-Deutschlands Schallplattenindustrie. Berbuers »Munteres Rehlein, du« 300 000 mal. Halbjahres-Abrechnung: 12 000 RM. »Heidewitzka, Herr Kapitän« war für ihn eine »ausgezeichnete lebenslängliche Rente«. Der Trizonesien-Song machte ihn unsterblich. Die großen vier Muuzemändelcher (Karl Barbuer, August Batzem, Jupp Schlösser und Jupp Schmitz) fuhren am 5. Oktober gemeinsam nach Berlin um das Schallplattengeschäft 1950 bei Lindström und Telefunken anzukurbeln. Aufnahmeleiter von Wysocki gestand ihnen fünf Prozent vom Lindström-Plattenpreis zu. Furtwängler bekomme nur zweieinhalb. In vier Tagen schallplattelten sie fünfzehn Lieder. Fünftes Rad am Berliner Wagen war Gerhard Ebeler, Senior von Kölns Schlager- und Krätzchensängern. Ein Tantiemen witternder amerikanischer Musik-Kopist machte aus Ebelers Chefschlager (""Du kannst nicht treu sein"") »You can't be true, dear« und ein nahrhaftes Amerika-Geschäft. Ebeler rächte sich am Ausland. Note für Note übernahm er 1949 Micanor Molinares Rumba: »Tschiu, tschiu, tschiu, tschiu«. Der neue Ebeler-Text hieß: »Prima, prima, prima Prümmcher""**). Feltz wird Stein. Kölns unterhaltungsmusikalischer NWDR-Star Kurt Feltz (Spiegel Nr. 51) findet so etwas kleinlich. »Ich kann verstehen, daß die Herren an ihren Liedern hängen«, ignoriert er die schlechte. Meinung, die neuerdings auch Kölns Berufskarnevalisten von ihm haben. »Die machen drei Schlager im Jahr und spekulieren auf Rente - ich texte ein- oder zweihundert, schreibe Operettenlibretti, mache ein paar hundert Drehbücher mit, und bin Angestellter beim NWDR«. Den Karnevalsschlager der Saison von 1949/50 schrieb ein krasser Außenseiter, »Wer soll das bezahlen?« ist der einzig gefragte in diesem Jahr. Nach Feltzens Meinung wird er die Lieblingsmusi der Saison. Den Text erfand Walter Stein. Morgens beim Rasieren in Kölns Eifelerstraße 66. Dann rief Walter Stein seinen Kölner Leibkomponisten Jupp Schmitz telefonisch zu sich und vertraute ihm das süße Geheimnis seines frischrasierten Pseudonyms an. In der nächsten Auflage wird sich der Stein öffentlich in den Feltz zurückverwandeln. Die druckweise Fastnachts-Metamorphose soll Radio-Manager Feltz vor dem Wettbewerbsprozeß, den ein Schock Konkurrenztexter im neuen Jahr gegen ihn führen will, vom Verdacht überirdischer Geschäftstüchtigkeit reinigen. »Wer einen guten Einfall hat und ihn nicht publiziert, ist blöde«, stachelte Stein-Feltz seinen Radiogeneral. Wellenreiter Grimme hatte nichts dagegen. Um so mehr toben Kölns professionelle Fastnachtsmänner wegen der unlauteren Reklame, die Feltz im NWDR -Programm seinem Pseudonym mache. Die Kabalen des zeitgenössischen Schlagergeschäftes lassen Witwe Ostermann in der Kermeterstraße kalt. Sie lebt vom Altenteil der Willi-Ostermann-Produktion. Nichtswürdig die Nation. Ein einziger Ostermann-Schlager (""Rheinland-Mädel"") ging 1926/27 mit einer Million Auflage durch die Plattenpresse. Saisongewinn: 130000 Gold-Mark. Als Ostermann starb (6. August 1936), standen 35000 Menschen vor seiner Residenz auf dem Neumarkt 33. Kölns Geschäfte schlossen, bis der Tote (im Frack) im städtischen Ehrengrab auf dem Friedhof Melaten lag. Nach 13 Jahren ist Ostermann immer noch populär. 1949 setzte die Witwe 45 000 Exemplare seiner Kölner Lieder ab. Freiwillig hätte sich Konrad Adenauer mit Ostermann (Titelbild), dem Boxei Hein Domgörgen, der Soubrette Trude Alex und dem Maler Ernst Hoerle damals nicht porträtieren lassen. Konstruktivist Hoerle malte ohne Modell. Dagegen war O. B. Adenauer machtlos. Genau so wie gegen das Kölner Landgerichtsurteil, das sein Bensberger Mitreferendar Hans Blatzheim als Justizrat und Senatspräsident der Großen Kölner Karnevalsgesellschaft gegen den antikarnevalistischen Adenauer durchsetzte. Alle städtischen Gebäude für den Kölner Karneval hatte Oberbürgermeister Adenauer damals (1926) sperren lassen: Es sei nationalunwürdig, in Anwesenheit der britischen Besatzung Kölner Karneval zu feiern. In Köln zog das Adenauersche Argument nicht. Als sich der alte Edel-Autokrat hinter die (damalige) Besatzung steckte, um seinen Willen dennoch durchzusetzen, machte ihn der Köllsche Hohn vollends fertig. 1927 fragte er ganz klein und häßlich Muuzemändelcher-Vorstand Jenen: »Was haben Sie denn dies Jahr mit mir vor?« Den Bundeskanzler Adenauer wird. Köln trotzdem als Rosenmontagszug-Zuschauer in sein ehemaliges Rathaus bitten. Denn am Rosenmontag spielt auch die Politik ihre Rolle. Meist eine versöhnliche. Gouverneur Bishop hat Erinnerungen daran, Nordrhein -Westfalens Finanzminister Ewald Weitz auch: Sie hatten sich wegen der Besatzungskosten (und einer Denkschrift darüber) heftigst verkracht. Bis sie sich am Rosenmontag (1949) karnevalsgerührt in die Arme sanken. Alle, die es wissen mußten, bekamen später einen photographischen Versöhnungsbeleg. Vorher hatte Prinz Karneval Theo (Röhrig) I. der Frau seines »lewen Bishop« »e Bützge zo gevve« - (""That means to kiss your wife""). Dann ging Altstadt-Kellereibesitzer Theo Röhrig, Liebigstraße 106 bis 112 (Generalvertretung und Auslieferungslager der Feist-Sekt-Kellereien AG. -Alleinvertrieb der Schwabenbräu AG.), völlig groggy, für eine Stunde ins Bett. (""Zum Fröhlichsein nur Röhrig-Wein!"") Der billigste Verein. Chef des Kölner Karnevals 1950 ist Thomas Liessem. Vor Rechtsanwalt Hubert Lenz sagte er bei der Entnazifizierung: »Ich bin Mitglied von vier Sportvereinen und treibe keinerlei Sport. Ich gehöre drei Gesangvereinen an und kann weder singen - noch spielen. Warum sollte ich als Mitglied der NSDAP - es war der billigste Verein, dem ich angehörte - politisch schuldig geworden sein? Der einzige Verein, dem ich aus innerer Ueberzeugung und mit Begeisterung angehöre, ist die Kölner Prinzengarde« Deren Präsident ist Liessem. Und seit 25 Jahren »Generalvertreter großer Marken« Als da sind: »Scharlachberg-Meisterbrand« »Söhnlein-Rheingold« »Urquell-Steinhäger« »Spaten-Franziskaner-Leistbräu« »Weingut Kayser« »Weingut Hassemer« »Importweine Tesdorpf« »Champagner Pommery & Greno« »Südweine Reidermeister und Ullrich, Bremen« Liessem organisiert schon den fünften Kölner Rosenmontagszug. (1936, 1937, 1938, 1939). Sein 1950er Motto ist: »Mer sin wider do und dunn wat mer künne«. (""Wir sind wieder da und tun was wir können"") In seinem Alkohol-Umschlag (Ehrenstraße 15-16, erster Stock, Hinterhaus) ist auch das Kölner Karnevalsprunkstück geplant und kalkuliert worden, angesichts einer Protz-Batterie von Gläsern und Schalen für alle vorkommenden Alkoholsorten. Nach Liessems Ueberschlägen wird der Karnevalszug 1950 nicht billiger als der von 1939. Er ist auf 175 000 Mark vorveranschlagt. Finanziert werden soll er * durch einen Zuschuß der Stadtverwaltung von 5000 DM (Sie zahlt aber nur 50 000 DM und kassiert die Kostüme für ihre 1900-Jahrfeier Frühjahr 1950) * durch eine Spendenliste von Handel und Industrie, der Gastronomie, der Kölnisch-Wasser-Firmen, der Zigarettenfabriken und Versicherungskonzerne von 30 000 DM * durch Reineinkünfte aus Vermietung von 26 000 Tribünensitzen und 8000 Bankreihen auf vierzehn verschiedenen Plätzen in Höhe von 30000 DM * durch die Einnahmen der offiziellen Rosenmontags-Zeitung in Auflage von 150 000 Stück mit 8000 DM * durch Vermietung an Schausteller (Hauptfirmen: Harl - Hannover und Delcour - Köln) für 20000 DM * durch Einnahmen aus Reklamedurchsagen auf der Lautsprecheranlage längs der zehn Kilometer langen Zugstraße (Dietz-Hanau baut sie mit 280 Lautsprechern) in Höhe von etwa 15000 DM * durch Einnahmen aus dem »Brillantfeuerwerk« 30 000 DM (Einkaufspreis bei Pyrotechniker Hans Moog etwa 20 000 DM) * durch Einnahmen aus dem »Zuggroschen« für alle Veranstaltungen (1/4 Million Besucher) 25000 DM * und Einnahmen bei der Prinzenproklamation 10000 DM »Doht mer der Gefalle, maht et em schön, he freut sich esu!« - sagte Margarete Franzen, 37, Prokuristin und Ehefrau bei Peter Franzen (""Pflanzkartoffelanbau und -vertrieb, Landesprodukten-Großhandel«, Köln-Nippes, Niehlerstraße 272), als sie von der Prinzenwahl 1950 hörte. Für die voraussichtlich 16tägige Abwesenheit ihres Chefs und Ehemannes revanchierte sie sich vorab durch die Bestellung von fünf neuen Abendkleidern. »Die braucht ne anständige Prinzgemahlin.« Als Muuzemändelcher-Literat Jonen in Franzens Auftrag bei Albrecht Bodde (""Große Kölner Karnevalsgesellschaft 1882 e. V."") vorfühlte, wie man über den Kölner Kartoffelkönig Franzen als Karnevalsprinzen 1950 denke, war der begeistert. Denn Franzen sprach: »Wenn ich den Prinz mache, dann mache ich ihn gut. Und dann muß ich mir 20 000 Märkcher aus de Rippen schneiden. Aber die beiden anderen auch«. Die »beiden anderen« sind »Seine Lieblichkeit die Kölner Jungfrau« und »Seine Deftigkeit, der Kölsche Bauer«. »Seine Lieblichkeit« ist seit 1949 auch wieder ein Mann. Die Nazis hatten ihn durch eine Frau ersetzt. Festausschuß-Geschäftsführer Rix meint noch heute, es hätte dabei bleiben können. Nicht wegen der Nazis, wegen des Geschmacks. Die anderen wollten aber nicht. Vor allem wäre die Finanzierung dann noch komplizierter. Es würde sich kaum eine Frau in Köln finden, die bereit sei, »eine kleine Villa« zum Fenster hinauszuwerfen. Ein Mann schon eher. »Die Figuren« fanden auch 1950 in Köln ihre Liebhaber. Erster Anwärter auf den Bauern war Jupp Zorn (Steine, Marmor, Fußboden, Innenausbau). Juwelier-Jungfrau Willy Nasse (Atelier für modernen Schmuck, An- und Verkauf von Brillanten. An den Dominikanern 1) wurde von Prinz Franzen »figürlich sehr geschätzt« Weniger hält er von beider Kandidaten finanziellem Stehvermögen *) Das ist bei Peter Franzen erwiesenermaßen ausdauernd. Als Junge dekorierte er in Vaters 1897 gegründetem Gemischtwarengeschäft das Fenster, indem er Kartoffeln zu Ankündigungen zusammenlegte wie »Feinste Nieren heute 3 Pf.« Heute kontrolliert Franzen Westdeutschlands Kartoffelwirtschaft Jahresumsatz 15 Millionen DM. Zwischen 1928 und 1933 lieferte er täglich einen Güterzug nach Paris. Schiffsweise verlud er bis Marokko. Auf den Börsen in Paris, Antwerpen und Köln erschien Franzen wöchentlich. »Saatkartoffeln« - sagt Franzen »dat's en Jedicht für sich. Un von dem Jedicht verstonn ich jet. Dat hab ich seit 28 Jahren bewiesen.« Spreizfuß - gehabt. Als ihm die Prinzenkandidatur sicher war, ließ sich Franzen im nagelneuen Mercedes zum orthopädischen Praktiker Otto Hammann in Köln -Bickendorf fahren. Festausschuß-Präsident Albrecht Bodde hatte ihn hinempfohlen damit er sich seinen Spreizfuß entfernen lasse. (""Der mußte weg, wenn ich als Prinz durchhalten soll""). Von der Operation (70 DM und 10 kostenlose Massagen) war der Prinz begeistert. Trotzdem will er sich in Nippes einen Leibarzt für die tollen Tage zulegen. (""Der muß mich jeden Morgen besichtigen""). Als Doping hat Peter 1. Pervitin vorgemerkt. Vor den Weinen fürchtet er sich nicht. Schnaps wirft ihn um. Und den will er meiden. »Ich hab et nich nötig, in jeder Wirtschaft einen zu nehmen.« Diese Bemerkung geht auf seinen Vorgänger Theo 1. Weil der als Kellereibesitzer überall absteigen und reden mußte, wo er Kundschaft sitzen hatte. Deswegen hatte er auch sein Hofquartier im Domhotel und nicht im traditionellen »Excelsior« aufgeschlagen. Sagen Theo Röhrigs Widersacher. Und deren hat der verflossene Prinz die Menge. Der schmale Blonde, 37, gedachte seine Popularität auch in den Karneval 1950 hinüberzuretten. Deshalb platzte er am 11. 11. 49 mit einer Broschüre »16 Tage Fürst« heraus Bei einer Auflage von 30 000 Stück erschien das Panegyrikum des Leibnarren Hans Jonen in Theo Röhrigs Eigenverlag. Albrecht Bodde rechnete im Freundeskreis vor, daß Theos Schrift allein für 12 000 DM Reklame enthielt. In drei Wochen waren 11 000 Exemplare des Exprinzen-Fazits verkauft. (""Ich gab die Schrift heraus, weil die jungen Leute. die Kriegsgeneration, glaubt, es handele sich beim Prinzen Karneval um einen bezahlten Komödianten""). Das Original trägt der Exprinz in der gelbbraunen Aktentasche umher. Mit Bildern aus seiner Regierungszeit. »Sehen Sie sich das Foto an. Das war vor den Karnevalstagen. Und dann das Bild vom Karnevalsdienstag. Total kaputt. Ich habe bis heute nicht wieder eingeholt, was ich damals verloren habe. Weiber? Ne! Dazu ist ein Prinz viel zu müde und es fehlt auch an der Zeit. Nicht einmal« Chansonette Mimi Thoma (Grammophon-Hauptschlager »Ich will Deine Kameradin sein"") ließ Freund Röhrigs zölibtäre Anwandlung ohne Kommentar. Es gab Stimmen im Festausschuß, die wegen der nicht vollständig beglichenen Bonbonrechnung bei der Gebrüder Stollwerk A. G. dem Exprinzen Röhrig die »Honoration« absprechen wollten. Mit dem Vorjahrs - Bauern (Autokühler - Müller) hatte es wegen unbezahlter Rechnungen auch Stunk gegeben. Mit der Jungfrau dem Juniorchef aus dem »Fröhlichen Weinberg« auf dem Kaiser-Wilhelm-Ring, waren die Gläubiger besser klargekommen. Die Mischung von Amüsement und Geschäft, in der der traditionelle »Kölsche Klüngel« so gut gedieh, will Neoprinz Peter I. abschaffen. Wenigstens in seinem »Hofstaat«. Auf die großen Gesellschaften, soweit deren Präsidien von Professional -Alkoholisten geführt werden, hat er ohnehin keinen Einfluß. Industrie und Handel sollen für den Kölner Karneval mehr als bisher die Taschen öffnen. Die Juniorchefs von Gerling (Versicherungen), Otto Wolff (Essen) und Rosenberg (Holz) holte er sich schon in den Senat seiner Gesellschaft. 7000 Briefe schickte er an befreundete Kartoffelhändler, 9000 an die Großindustrie, 7000 an Jagdfreunde heraus, um am Tage der Prinzenproklamation einen Sozialfond des Kölner Karnevals anzukündigen. Er rechnet, daß 100 000 Mark mühelos zusammenkommen. Den Oberbürgermeistern von Hamburg, Bremen, München, Amsterdam und Rotterdam wird er im »Excelsior« am Karnevalssonntag ein Sonderfrühstück geben. Sein Plan, am gleichen Tage in Köln eine internationale Kartoffelbörse zu veranstalten (Direktor Wiesemer vom Verkehrsamt halte schon für 3000 Teilnehmer Quartier zugesagt), platzte in letzter Minute. Hänneschen in Afrika. Für Kölns Rosenmontagszug ist der Ausfall ziemlich belanglos. Denn den werden sich, aller Voraussicht nach, rund eine Million Menschen ansehen. Daß die Fremden an diesem Tag in Köln was zu sehen haben, dafür macht sich Albert Bodde als erster Vorsitzender des Festausschusses stark. Er will auch verkaufen. Als Vertreter von Paulanerbräu AG. Salvator-Brauerei Thomasbräu A. G. München Königsbacher Brauerei A. G Koblenz Schlichte Steinhagen Doppelflitzer-Likör in Wuppertal Bodde vertritt auch die Karnevalsgesellschaften bei den Behörden und den Finanzämtern. 1908 stieg er zum erstenmal in die Bütt (als Ehemann mit 15 Kindern). Er ist der Autor ungezählter Karnevalslieder, Büttenreden und Hänneschen -Stücke. Soeben wurde gedruckt: »Hänneschen in Afrika« und »Tünnes gewinnt im Fußballtoto«. Boddes Schatzmeister Ferdy Leisten hat ebenfalls karnevalistische Familientradition. Der Vater war 1927 Prinz. Er warf 22 Zentner Bonbons unters Volk (1949er Prinz Röhrig nur zehn). Festausschuß - Geschäftsführer Mathias Rix stieg 1945 in die Kölner Amüsierbranche. Er trat als unbelasteter Teilhaber in die seit 1918 bestehende Metallwarenfabrik Hoffstetter (Oberkassel-Bonn) ein. Die war einst auf Ritterkreuze spezialisiert. Dann machte sie Zigarettenetuis für die Besatzung, mit der Gravur »Zone belgique« (die es nie gegeben hat). Das Ordensgeschäft ist ansehnlich. Jede Gesellschaft braucht etwa 200 in der Session. Durchschnittspreis 5 Mark. Der Prinz bringt auch rund 500 Auszeichnungen unter seine Freunde. Zwischen 6000 und 7000 Karnevalsorden werden jährlich in Köln vergeben. Aus dem Prinzenwagen werden 1950 aufs Kölner Pflaster fliegen: 25 Zentner Kammellen, 3000 Kleinpackungen Pralinen, 10 000 Tafeln Schokolade und 5000 Mimosen-Veilchensträuße. Nacht für Nacht werden drei Föhne heulen, um die durchgeschwitzten Kostüme des Prinzen zu trocknen. Jedes Kostüm kostet zwischen 500 und 600 DM. Es würde ihm in Fetzen vom Leibe gerissen, wäre die Ehrengarde nicht zum Schutz des Prinzen da. Kölns Kölnisch-Wasser-Firmen unterbrechen 1950 ihre gegenseitigen Traditions- und Dauerprozesse. Sie haben sich geeinigt, beim Rosenmontagszug 30 000 Gratisflaschen Parfüm unter die Zuschauer zu werfen. Eine fahrbare Sprühfontäne wird ein paar tausend Liter Eau de Cologne in die Menge spritzen und die mit Rheinwasser gewaschene Narren mit Kölnisch -Wasser duftend wiedertaufen. Kölns karnevalistische Feinschmecker allerdings sind weder beim Zug noch in den großen Gesellschaften. Die geben in die »Hängematte« oder auf den »Lumpenball«. Hier treffen sich Kölns Schauspieler, Maler und Literaten. Die »Hängematte« feiert seit 1930. Maler-Imitator Vondemberge begrüßt seine Gäste mit nichts als dem monotonen Zuruf: »Kinder amüsiert euch!« In der »Hängematte« werden auch Ernst Rowohlts unveröffentlichte Verse publiziert. 1949 waren es diese: Schnell, schnell, schnell Noch einmal ins Bordell. Ehe die Preise steigen . . . * Muuzemändelcher = ein tropfenförmiges, Seichtes und duftiges, in Köln nur zur Fastnachtzeit hergestelltes Oelgebäck. **) Prümmcher - Pflaumen. *) Nur der Juwelier blieb im Rennen. Fritz Fuhr, Bauunternehmer, auf den Spitznamen »Zementbüggel« (Zementsack) hörend, wurde *} Die letzte Zeile des Vierzeilers können interessierte Leser bei der SPIEGEL-Redaktion erfragen. Kabale und Schlager »Rheinland-Mädel"": Käthe Ostermann Lieblingsmusi der Saison: Kurt Feltz Karnevals-Chef: Liessem Vertritt Urquell-Steinhäger Zum Fröhlichsein nur Röhrig-Wein Theo I. 1949 Kartoffeln sind ein Gedicht für sich Peter I. 1950 mit Gallin Festausschuß: Bodde Vertritt Schlichte-Steinhäger",https://www.spiegel.de/politik/wer-soll-das-bezahlen-a-feae7c2f-0002-0001-0000-000056033786?context=issue,,1
1950,1,2,1950-01-04,Medizin,,,"Auf östlichem Parkett stehende britische Diplomaten haben Sorgen. Ihr breitrückiger Boss Bevin sorgte dafür, daß sie auch Likör haben. Ab 1950 wird es regelmäßige Sonderzulagen an Geld, Lebensmitteln und Getränken geben. Kein volksdemokratischer Volksgenosse wage es noch, mit ausländischen Vertretern gesellschaftlichen Verkehr zu pflegen, begründete Downingstreet. Den also Vereinsamten soll der Zusatz-Cocktail als Anti-Melancholie-Medizin dienen.",https://www.spiegel.de/politik/medizin-a-c9619d8a-0002-0001-0000-000044445778?context=issue,,1
1950,1,3,1950-01-04,Pauke,,,"Die Saarländer fanden ein demokratisch bemaltes Kuckucksei unter dem autonomen Christbaum. Im Saar-Landtag, der keine Weihnachtsferien kannte, begründete Staatssekretär Dr. Hector, einst Adjutant im Vorzimmer des französischen Militärdelegierten für Saarbrücken, den Gesetzentwurf über die Zulassung von politischen Parteien: Innerhalb des Saar-Vaterlandes sei »kein wirkliches Bedürfnis zur Bildung neuer Parteien« vorhanden. Die Zulassung einer neuen Partei soll nur möglich sein, wenn der saarländische Landtag ihr mit Zweidrittel-Mehrheit zustimmt. +Wie alle Saar-Beamte wurden auch die Künstler des Saarbrücker Stadttheaters auf die Saar-Verfassung vereidigt. Der feierliche Stadttheater-Akt rollte nicht störungsfrei ab: zwei weigerten sich, andere strichen »Gott« aus der Eidesformel. Mit dem habe das Ganze nichts zu tun, meinten sie. +Da es versäumt worden war, legte Saar-Kultusminister Dr. Erwin Straus den Grundstein zum neuen Saarbrücker Ludwigsgymnasium beim Richtfest. Anschließend verpaßte er den Paukern eine Standpauke: »Meine Herren, Sie werden vom Staat bezahlt!« Die Herren hatten die saarländische Verfassungsfeier geschwänzt.",https://www.spiegel.de/politik/pauke-a-be66ad1c-0002-0001-0000-000044445779?context=issue,,1
1950,1,4,1950-01-04,Formen,,,"In der westlichen Presse gibt es wieder alarmierende Schlagzeilen über östliche Vorgänge. Meist mit nervösen Fragezeichen versehen. Etwa: Steht der »kalte Anschluß« der Tschechoslowakei an Rußland bevor? Fest steht, daß sich in der Tschechoslowakei die KP-interne Säuberung vor allem gegen Leute richtet, die national-tschechischen Denkens verdächtig sind. Aemter und öffentliche Einrichtungen werden ständig umorganisiert. Russische Instrukteure sind dabei, den Verwaltungsapparat nach UdSSR-Vorbild umzubauen. In den militärischen Kommandostellen befehlen Offiziere russischer Herkunft. Anweisungen für die operativen Abteilungen kommen aus Moskau. Der staatliche Anschluß wird mehr und mehr zur Formfrage.",https://www.spiegel.de/politik/formen-a-372539e1-0002-0001-0000-000044445781?context=issue,,1
1950,1,5,1950-01-04,Zeltbürger,,,"In der Silvesternacht um zwei trat plötzlich ein Mann ins Zelt. Die beiden Schläfer fuhren erschrocken hoch. Doch der Eindringling meinte ebenso höflich wie breit: »Entschuldigen Sie, uenn ich s-tören. Ich kommen privat.« Dann überreichte der Amerikaner den staunenden Zeltbürgern Whisky, Schokolade, Kaffee, Milch und Zigaretten. Horst Bergschneider und Willi Idelberger. prominente deutsche Garry-Davis-Jünger, haben den heimatlichen Herner Kohlenpott mit einem Zeltplatz zu Füßen der Hohen Kommissare vertauscht. Ziel des winterlichen Zeltens am Petersberg: zu demonstrieren für die Weltbürger-Idee im allgemeinen und für den Möchtegern-Deutschlandbesucher Garry Davis im besonderen. Der mußte inzwischen seinen Zeltplatz an der Kehler Rheinbrücke mit einem Krankenhausbett vertauschen. Die beiden Westfalen sind stur: »Wir gehen hier nicht weg, bevor nicht die Einreisegenehmigung für Garry vorliegt; notfalls treten wir in den Hungerstreik«, beharrte Horst und biß in eine große Tafel Ami-geschenkter Cadbury-Schokolade. Das neue Jahr konnte er mit Sekt begrüßen: Frankreichs Hoher Kommissar André Francois-Poncet hatte eine Flasche spendiert.",https://www.spiegel.de/politik/zeltbuerger-a-ae2c685b-0002-0001-0000-000044445782?context=issue,,1
1950,1,6,1950-01-04,Bauch,,,"Fritz Geißler darf Wilhelm Pieck den Bauch kneten. »Dienstantritt morgens 6.30 Uhr«, steht in dem Dienstvertrag des Leibmasseurs, den Staatspräsident Wilhelm Pieck auf ärztliches Anraten einstellte. Die mit aller staatspolitischen Diskretion vorgenommene Wahl fiel auf den 1,89 m großen Geißler: Der herkulische Masseurgehilfe konnte seine Zugehörigkeit zur alten KP seit 1926 nachweisen. Außerdem war er Mitglied des Arbeiter-Athleten-Bundes. Jeden Morgen massiert jetzt Genosse Geißler Präsident Pieck. Damit er pünktlich zur Stelle sein kann, wurde ihm eine Vierzimmer-Wohnung in der Nähe von Schloß Niederschönhausen - Piecks Residenz - zugewiesen. Auch Sonderverpflegung und Pajok gehören zum Ausgedinge des Leibmasseurs.",https://www.spiegel.de/politik/bauch-a-d92b58cd-0002-0001-0000-000044445783?context=issue,,1
1950,1,7,1950-01-04,Hang,,,"Stalin wird sowjetamtlich in die Ecke gestellt. Eine Anordnung der Propaganda-Leitung der Roten Armee will es. In allen Unterkünften der außerhalb der Sowjetunion liegenden Truppenteile sind fortan »Eckchen der Heimat« einzurichten. Etwas Aehnliches ist vielen jungen Kämpfern als Ikonen-Ecke großväterlicher Bauernstuben in nachgedunkelter Erinnerung. Die roten »Eckchen« stehen unter Politruk-Aufsicht und sollen die Soldaten auch in monopolkapitalistisch angekränkelter Umwelt ständig an das sozialistische Vaterland erinnern. Der Befehl macht konkrete Angaben über den Mittelpunkt des Eckchens: »Ein Bild des Genossen Stalin, das an dem am meisten ins Auge springenden Platz aufgehängt werden soll.«",https://www.spiegel.de/politik/hang-a-474fcd6e-0002-0001-0000-000044445784?context=issue,,1
1950,1,8,1950-01-04,Vorbild,,,"Ein Jugoslawe namens Milan verschwand. Noch 1947 spielte der serbische KZ-Häftling eine Rolle in dem in Warschau erschienenen Roman »Jodrid Enie« des polnischen Auschwitz - Ueberlebenden Stanislaus Vigodski. Damals hatte die Zensur nichts gegen die zur Durchhalte-Stimmung im KZ beitragende Romanfigur Milan. Jetzt aber, als die Neuauflage des Romans herauskam, forschten Kenner der ersten Auflage vergebens nach Freund Milan. Der Roman wurde nicht etwa gekürzt, aber Milan ist weg. Jedoch - er erstand wieder: aus dem vorbildlichen Milan wurde der ebenso vorbildliche Mischa. Milan war Jugoslawe Mischa ist Russe.",https://www.spiegel.de/politik/vorbild-a-3048fdf8-0002-0001-0000-000044445785?context=issue,,1
1950,1,9,1950-01-04,Luft,,,"Der Sprecher des britischen Außenministeriums verstand die Welt nicht mehr. Die »Welt« auch nicht. Das in Hamburg erscheinende, einstweilen britisch kontrollierte Blatt hatte sich von seinem Londoner Korrespondenten aus Berlin melden lassen, die Ostzonen-Volkspolizei werde von den Sowjets mit Panzern des Typs T 34, Flugzeugen und Artillerie ausgerüstet. Der dreispaltigen »Welt«-Schlagzeile »Sowjetwaffen für Volkspolizei« verlieh der Londoner »Daily Telegraph« seinerseits ein auflagestarkes englischsprachiges Echo. In amtlichen britischen Kreisen sei man - so verlautbarte das Foreign Office - besonders deswegen verstimmt, weil die »Welt« als offizielles Sprachrohr der britischen Regierung in Deutschland gelte. VP-Sondereinheiten mit Panzern, Flugzeugen und Artillerie gebe es nicht Auch Pläne für eine Erhöhung der westdeutschen Besatzungskosten als deutscher Beitrag zur westeuropäischen Verteidigung seien völlig aus der Luft gegriffen.",https://www.spiegel.de/politik/luft-a-a941ac42-0002-0001-0000-000044445786?context=issue,,1
1950,1,10,1950-01-04,Hoffnung,,,"Die kaum gekittete Fernost-Eintracht der Angelsachsen wurde wieder brüchig. Es wird nicht lange dauern, bis eine amerikanische Hilfsmission Tschiang Kai-schek auf Formosa den korrupten Rücken geradebügelt, während Mao Tse-tung - die englische Anerkennung in der Tasche - seine Invasionsflotte für Formosa zusammenstellt. Bevin und Acheson hatten im September die chinesischen Nationalisten abgebucht. Aber jetzt funkte General McArthur dazwischen. Truman kalkulierte in die außenpolitische Rechnung innenpolitische Posten mit ein: im November steigen die Teilwahlen zum Kongreß. Da will er sich nicht den Anschein geben, chinapolitisch errötet zu sein. Für die Weltpolitik hat seine »ein wenig bestürzende« Entscheidung die »ernstesten Konsequenzen«, sorgte sich die Londoner »Times«. England hoffe nur, daß Amerika trotz dieser Differenzen bei der Behandlung Mao Tse-tungs in der Abwehr weiterer kommunistischer Expansionen in Asien mit ihm zusammenarbeiten werde.",https://www.spiegel.de/politik/hoffnung-a-de469cd4-0002-0001-0000-000044445787?context=issue,,1
